iter	Passed	Remaining
426	1775	2382
427	1779	2378
428	1783	2373
429	1787	2369
430	1791	2364
431	1795	2360
432	1798	2355
433	1802	2351
434	1806	2346
435	1810	2341
436	1814	2337
437	1818	2333
438	1822	2328
439	1826	2324
440	1830	2319
441	1834	2315
442	1837	2310
443	1842	2306
444	1845	2302
445	1850	2298
446	1854	2294
447	1858	2289
448	1863	2286
449	1867	2282
450	1871	2277
451	1875	2273
452	1879	2269
453	1883	2265
454	1897	2273
455	1902	2269
456	1905	2264
457	1909	2259
458	1913	2255
459	1917	2250
460	1921	2246
461	1924	2241
462	1929	2237
463	1933	2232
464	1937	2228
465	1941	2224
466	1944	2219
467	1948	2215
468	1952	2211
469	1956	2206
470	1960	2202
471	1964	2197
472	1968	2193
473	1972	2188
474	1976	2184
475	1980	2180
476	1984	2175
477	1987	2170
478	1991	2166
479	1995	2162
480	1999	2157
481	2001	2151
482	2005	2146
483	2009	2142
484	2013	2137
485	2017	2133
486	2021	2129
487	2024	2124
488	2028	2119
489	2032	2115
490	2036	2111
491	2040	2106
492	2043	2101
493	2047	2097
494	2051	2093
495	2055	2088
496	2059	2084
497	2063	2079
498	2067	2075
499	2070	2070
500	2074	2066
501	2078	2061
502	2082	2057
503	2086	2053
504	2090	2049
505	2094	2044
506	2098	2040
507	2102	2035
508	2105	2031
509	2109	2027
510	2113	2022
511	2117	2018
512	2121	2013
513	2125	2009
514	2128	2004
515	2132	2000
516	2136	1995
517	2140	1991
518	2144	1987
519	2147	1982
520	2151	1978
521	2155	1974
522	2159	1969
523	2163	1965
524	2166	1960
525	2170	1955
526	2174	1951
527	2178	1947
528	2182	1942
529	2185	1938
530	2189	1933
531	2193	1929
532	2197	1925
533	2201	1920
534	2204	1916
535	2208	1912
536	2212	1907
537	2216	1903
538	2220	1899
539	2224	1894
540	2227	1890
541	2231	1885
542	2235	1881
543	2238	1876
544	2242	1872
545	2246	1868
546	2250	1863
547	2254	1859
548	2258	1854
549	2261	1850
550	2265	1845
551	2269	1841
552	2273	1837
553	2276	1833
554	2280	1828
555	2284	1824
556	2288	1820
557	2292	1815
558	2296	1811
559	2300	1807
560	2304	1803
561	2308	1798
562	2311	1794
563	2315	1790
564	2319	1786
565	2323	1781
566	2327	1777
567	2331	1773
568	2335	1768
569	2339	1764
570	2342	1760
571	2346	1755
572	2350	1751
573	2354	1747
574	2358	1742
575	2361	1738
576	2365	1734
577	2369	1730
578	2373	1725
579	2377	1721
580	2381	1717
581	2384	1712
582	2388	1708
583	2392	1704
584	2396	1700
585	2400	1695
586	2404	1691
587	2408	1687
588	2412	1683
589	2416	1679
590	2420	1675
591	2424	1670
592	2428	1666
593	2431	1662
594	2435	1657
595	2439	1653
596	2443	1649
597	2447	1645
598	2451	1640
599	2454	1636
600	2458	1632
601	2462	1628
602	2466	1623
603	2470	1619
604	2473	1615
605	2477	1610
606	2481	1606
607	2485	1602
608	2489	1598
609	2493	1594
610	2497	1589
611	2501	1585
612	2505	1581
613	2509	1577
614	2513	1573
615	2517	1569
616	2520	1564
617	2524	1560
618	2528	1556
619	2532	1552
620	2536	1547
621	2539	1543
622	2543	1539
623	2547	1535
624	2551	1530
625	2555	1526
626	2559	1522
627	2563	1518
628	2566	1513
629	2570	1509
630	2574	1505
631	2578	1501
632	2582	1497
633	2585	1492
634	2589	1488
635	2593	1484
636	2597	1480
637	2601	1476
638	2605	1471
639	2609	1467
640	2613	1463
641	2616	1459
642	2620	1455
643	2624	1450
644	2628	1446
645	2632	1442
646	2636	1438
647	2640	1434
648	2643	1429
649	2647	1425
650	2651	1421
651	2655	1417
652	2659	1413
653	2663	1409
654	2667	1404
655	2670	1400
656	2674	1396
657	2678	1392
658	2682	1388
659	2686	1383
660	2689	1379
661	2693	1375
662	2697	1371
663	2701	1366
664	2704	1362
665	2708	1358
666	2712	1354
667	2716	1349
668	2719	1345
669	2723	1341
670	2727	1337
671	2731	1333
672	2735	1328
673	2740	1325
674	2744	1321
675	2747	1317
676	2751	1312
677	2755	1308
678	2759	1304
679	2763	1300
680	2766	1296
681	2770	1291
682	2774	1287
683	2778	1283
684	2782	1279
685	2785	1275
686	2789	1270
687	2793	1266
688	2797	1262
689	2801	1258
690	2804	1254
691	2808	1250
692	2812	1245
693	2816	1241
694	2819	1237
695	2823	1233
696	2827	1229
697	2831	1225
698	2835	1220
699	2838	1216
700	2842	1212
701	2846	1208
702	2850	1204
703	2854	1200
704	2857	1195
705	2861	1191
706	2865	1187
707	2869	1183
708	2870	1178
709	2874	1174
710	2878	1169
711	2882	1165
712	2885	1161
713	2889	1157
714	2893	1153
715	2897	1149
716	2901	1145
717	2905	1140
718	2908	1136
719	2912	1132
720	2916	1128
721	2920	1124
722	2924	1120
723	2927	1116
724	2931	1112
725	2935	1107
726	2939	1103
727	2943	1099
728	2946	1095
729	2950	1091
730	2954	1087
731	2958	1083
732	2962	1079
733	2966	1074
734	2970	1070
735	2974	1066
736	2978	1062
737	2981	1058
738	2985	1054
739	2989	1050
740	2993	1046
741	2997	1042
742	3001	1038
743	3004	1033
744	3008	1029
745	3012	1025
746	3016	1021
747	3020	1017
748	3023	1013
749	3027	1009
750	3031	1005
751	3035	1001
752	3039	997
753	3043	993
754	3047	988
755	3051	984
756	3055	980
757	3059	976
758	3063	972
759	3066	968
760	3070	964
761	3074	960
762	3076	955
763	3079	951
764	3083	947
765	3087	943
766	3091	939
767	3095	934
768	3098	930
769	3102	926
770	3106	922
771	3110	918
772	3114	914
773	3118	910
774	3122	906
775	3125	902
776	3129	898
777	3133	894
778	3137	890
779	3141	885
780	3142	881
781	3146	877
782	3150	873
783	3154	868
784	3158	864
785	3161	860
786	3165	856
787	3169	852
788	3173	848
789	3177	844
790	3180	840
791	3184	836
792	3188	832
793	3192	828
794	3196	824
795	3200	820
796	3204	816
797	3207	811
798	3211	807
799	3215	803
800	3219	799
801	3223	795
802	3227	791
803	3230	787
804	3234	783
805	3238	779
806	3242	775
807	3246	771
808	3249	767
809	3253	763
810	3257	759
811	3261	755
812	3265	751
813	3268	746
814	3272	742
815	3276	738
816	3278	734
817	3281	730
