iter	Logloss
0	0.6827898958
1	0.6689493349
2	0.6582425594
3	0.6481544135
4	0.6402353925
5	0.6313704872
6	0.6213621241
7	0.6128945194
8	0.6060697519
9	0.5973212684
10	0.5905506936
11	0.5815288898
12	0.5749420602
13	0.5705004073
14	0.5636375143
15	0.55609385
16	0.5493820788
17	0.5433539329
18	0.535568282
19	0.5293109628
20	0.5230296404
21	0.5178046739
22	0.512424746
23	0.5075164358
24	0.5025450929
25	0.497182611
26	0.4932554502
27	0.487557106
28	0.4844867789
29	0.4803563792
30	0.4758350755
31	0.4717896866
32	0.4665959375
33	0.4621640926
34	0.458727428
35	0.4545136988
36	0.4509102808
37	0.4472750673
38	0.4437414741
39	0.4410493626
40	0.4385373329
41	0.4352452322
42	0.4323670847
43	0.4273999079
44	0.4240064686
45	0.4205266291
46	0.4176366153
47	0.413752134
48	0.4111380259
49	0.4083567957
50	0.406466074
51	0.4038126945
52	0.4008538978
53	0.398035103
54	0.3958762451
55	0.3937207627
56	0.3902440673
57	0.3879421253
58	0.3851600444
59	0.383159334
60	0.3801622408
61	0.3771962092
62	0.3752370185
63	0.3715586102
64	0.3695173245
65	0.3673687748
66	0.3653214664
67	0.3632202541
68	0.3608693182
69	0.3578544827
70	0.3566104837
71	0.3551362261
72	0.3530059973
73	0.3516570885
74	0.3494066251
75	0.3473161063
76	0.3445981325
77	0.3425457885
78	0.3414737074
79	0.339234702
80	0.3371772219
81	0.3360998623
82	0.3344225462
83	0.3331760954
84	0.3321251278
85	0.331104569
86	0.3294677706
87	0.3278411446
88	0.326413918
89	0.323921066
90	0.3225549109
91	0.3200370441
92	0.3187007508
93	0.3161882941
94	0.3146237515
95	0.3132886099
96	0.3116737038
97	0.3095782269
98	0.3086388713
99	0.3073010415
100	0.3063707556
101	0.3054910153
102	0.3036090851
103	0.3027230532
104	0.3018025204
105	0.3007209969
106	0.2997226131
107	0.2988598559
108	0.2976144468
109	0.2964305762
110	0.2943853172
111	0.2933288003
112	0.2917345944
113	0.2906102486
